first_name,second_name,web_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,form,id,in_dreamteam,news,news_added,photo,points_per_game,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Eddie,Beach,Beach,40,0.0,0.0,474803,0,0,0,0,0,1,0.0,0.0,0,0.0,680,False,On loan to National League side Gateshead until the end of the season,2024-01-12T11:04:19.343017Z,474803.jpg,0.0,0.0,False,,u,7,8,0,1449,0,1327,36,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,602,78,587,61,545,50,607,78,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,722,58,467,70,610,77,652,79,0.0,0.0
Diego Manuel Jadon,da Silva Moreira,Diego Moreira,45,100.0,0.0,491011,0,0,0,0,0,3,0.0,0.0,0,0.0,681,False,,2023-09-03T20:11:21.942763Z,491011.jpg,0.0,0.0,False,,a,7,8,0,250,14,285,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,721,289,716,289,702,282,726,292,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,444,259,649,244,724,292,771,324,0.0,0.0
Đorđe,Petrović,Petrović,45,,,457569,0,0,0,0,0,1,4.7,4.7,1,4.7,687,False,,,457569.jpg,3.5,1.2,False,,a,7,8,28,169878,9306,53066,8500,1.0,6.2,636,0,0,2,14,0,0,0,0,0,30,3,148,220.6,0.0,0.0,22.1,7,0.00,0.00,0.00,11.09,211,23,701,85,685,81,339,23,,,,,,,0.0,4.25,0.0,0.0,1.57,1.98,423,24,47,3,96,14,172,24,0.99,0.28
Alfie,Gilchrist,Gilchrist,40,,,514280,0,0,0,0,0,2,0.7,0.7,1,0.7,716,False,,,514280.jpg,1.0,0.0,False,,a,7,8,4,2930,226,1969,92,0.2,1.0,12,0,0,0,1,0,0,0,0,0,0,0,11,5.0,0.8,0.0,0.5,0,0.00,0.01,0.01,1.21,481,176,464,174,562,223,495,178,,,,,,,0.0,0.0,0.08,0.08,9.08,7.5,740,222,275,88,430,151,566,209,0.0,0.0
Ronnie,Stutter,Stutter,45,,,517996,0,0,0,0,0,4,0.0,0.0,0,0.0,717,False,,,517996.jpg,0.0,0.0,False,,a,7,8,0,5444,117,4345,130,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,738,84,735,85,722,83,743,86,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,467,82,670,71,741,86,561,78,0.0,0.0
Alex,Matos,Matos,45,0.0,0.0,519198,0,0,0,0,0,3,0.0,0.0,0,0.0,718,False,On loan to Huddersfield Town until the end of the season,2024-01-07T13:44:31.532785Z,519198.jpg,1.0,0.0,False,,u,7,8,1,1272,0,1150,16,0.0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,740,306,737,307,724,301,745,309,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,469,281,672,264,462,214,716,288,0.0,0.0
Josh,Brooking,Brooking,40,,,248854,0,0,0,0,0,2,0.0,0.0,0,0.0,723,False,,,248854.jpg,0.0,0.0,False,,a,7,8,0,1631,58,1353,52,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,583,213,568,212,525,198,588,213,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,699,193,447,162,591,209,611,220,0.0,0.0
Malang,Sarr,M.Sarr,43,,,204727,0,0,-2,2,0,2,0.0,0.0,0,0.0,214,False,,,204727.jpg,0.0,0.1,False,,a,7,8,0,4921,79,9840,121,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,642,251,629,251,597,246,646,251,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,610,141,530,220,650,248,428,166,0.0,0.0
Cesare,Casadei,Casadei,45,,,505187,0,0,0,0,0,3,0.5,0.5,0,0.5,791,False,,,505187.jpg,1.0,0.0,False,,a,7,8,1,130,50,36,26,0.1,0.2,5,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,0.00,0.00,0.00,0.04,518,235,484,236,712,292,521,238,,,,,,,0.0,0.0,0.0,0.0,0.72,0.0,456,271,307,147,461,213,789,336,0.0,0.0
Roméo,Lavia,Lavia,49,0.0,0.0,514356,0,0,-1,1,0,3,0.0,0.0,0,0.0,667,False,Thigh injury - Unknown return date,2023-12-29T16:30:10.231754Z,514356.jpg,1.0,0.0,False,,i,7,8,1,1444,8,1672,18,0.0,0.2,32,0,0,0,0,0,0,0,0,0,0,0,2,3.6,1.9,0.0,0.6,0,0.00,0.01,0.01,0.33,489,219,449,219,770,329,494,224,,,,,,,0.0,0.0,0.03,0.03,0.93,0.0,271,174,736,305,482,227,722,293,0.0,0.0
