first_name,second_name,web_name,now_cost,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,form,id,in_dreamteam,news,news_added,photo,points_per_game,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Folarin,Balogun,Balogun,44,0.0,0.0,232223,0,0,-1,1,0,4,0.0,0.0,0,0.0,1,False,Transferred to Monaco,2023-08-31T08:55:15.272751Z,232223.jpg,0.0,0.2,False,,u,1,3,0,10024,0,62761,132,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,662,67,651,67,620,64,666,68,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,541,96,565,51,671,71,329,52,0.0,0.0
Kieran,Tierney,Tierney,44,0.0,0.0,192895,0,0,-1,1,0,2,0.0,0.0,0,0.0,24,False,Season long loan to Real Sociedad,2023-08-29T07:46:59.686803Z,192895.jpg,0.0,0.1,False,,u,1,3,0,2665,0,28641,25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,656,254,644,254,613,249,660,254,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,523,99,557,229,665,252,416,162,0.0,0.0
Takehiro,Tomiyasu,Tomiyasu,45,75.0,0.0,223723,0,0,0,0,1,2,0.4,0.0,0,0.0,25,False,International Duty - 75% chance of playing,2023-12-02T18:30:08.259180Z,223723.jpg,3.0,0.3,False,,d,1,3,39,79932,396,89461,529,0.0,8.7,628,1,1,3,5,0,0,0,0,1,0,3,147,139.6,67.8,57.0,26.2,5,0.48,0.41,0.89,7.25,292,115,283,91,275,81,311,109,,,,,,,0.07,0.0,0.06,0.13,1.04,0.72,391,72,611,246,158,41,301,115,0.72,0.43
Leandro,Trossard,Trossard,65,100.0,100.0,116216,0,0,-5,5,2,3,6.2,5.7,8,5.7,26,False,,2023-10-09T08:30:07.911344Z,116216.jpg,3.4,1.7,False,,a,1,3,64,309087,5630,696314,3525,0.9,9.8,753,5,1,3,7,0,0,0,0,0,0,8,174,252.2,209.2,344.0,80.4,7,4.28,1.56,5.84,6.84,186,77,115,81,57,34,103,66,4.0,,,,,,0.51,0.0,0.19,0.7,0.82,0.84,45,26,29,15,116,60,147,43,0.84,0.36
Benjamin,White,White,56,100.0,100.0,198869,0,0,1,-1,2,2,3.5,3.0,1,3.0,29,False,,2023-11-12T02:00:08.673390Z,198869.jpg,3.5,10.4,False,,a,1,3,78,1452856,10946,1401686,34840,0.5,13.9,1745,1,2,7,21,0,0,0,5,0,0,7,395,398.0,309.5,119.0,82.7,20,0.75,2.23,2.98,15.72,74,26,67,11,177,34,98,15,,,,,,,0.04,0.0,0.12,0.16,0.81,1.08,92,7,107,27,101,17,40,12,1.03,0.36
Granit,Xhaka,Xhaka,60,0.0,0.0,84450,0,0,0,0,0,3,0.0,0.0,0,0.0,30,False,Transferred to Bayer Leverkusen,2023-07-11T08:41:07.159936Z,84450.jpg,0.0,0.0,False,,u,1,3,0,0,0,1223,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,803,350,803,350,803,350,803,350,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,62,38,789,341,802,350,690,275,0.0,0.0
Oleksandr,Zinchenko,Zinchenko,52,75.0,100.0,206325,0,0,2,-2,2,2,3.9,4.7,1,4.7,31,True,Calf injury - 75% chance of playing,2024-02-05T08:30:09.070071Z,206325.jpg,4.0,10.0,False,,d,1,3,85,1558072,21305,1260503,95991,0.9,16.3,1427,1,2,7,13,0,0,0,2,0,0,13,379,347.6,398.5,127.0,87.3,17,0.49,2.43,2.92,10.68,103,38,41,6,167,28,86,10,,,,,,,0.03,0.0,0.15,0.18,0.67,0.82,157,16,49,12,55,8,43,13,1.07,0.44
David,Raya Martin,Raya,49,100.0,100.0,154561,0,0,-1,1,0,1,4.5,4.0,2,4.0,113,False,,2023-11-13T01:00:08.923385Z,154561.jpg,3.7,6.2,False,,a,1,3,67,839805,22658,738269,18950,0.8,13.7,1620,0,0,6,18,0,1,0,0,0,31,3,304,273.4,0.0,0.0,27.3,18,0.00,0.02,0.02,13.14,163,20,767,88,761,86,304,20,,,,,,,0.0,1.72,0.0,0.0,0.73,1.0,233,8,62,5,74,8,61,11,1.0,0.33
Reiss,Nelson,Nelson,48,100.0,100.0,200641,0,0,-2,2,0,3,0.8,0.3,1,0.3,578,False,,2023-08-07T15:30:06.067296Z,200641.jpg,0.9,0.0,False,,a,1,3,9,6475,62,7816,66,0.1,1.9,113,0,0,0,0,0,0,0,1,0,0,0,29,22.6,41.5,15.0,7.8,0,0.04,0.33,0.37,1.73,442,197,339,177,398,197,421,194,,,,,,,0.03,0.0,0.26,0.29,1.38,0.0,292,190,351,167,500,238,551,197,0.0,0.0
Jurriën,Timber,J.Timber,46,0.0,0.0,445122,0,0,-4,4,0,2,0.0,0.0,0,0.0,585,False,Knee injury - Unknown return date,2023-08-12T18:00:07.121160Z,445122.jpg,0.0,0.4,False,,i,1,3,0,12529,92,479699,209,0.0,0.0,49,0,0,0,0,0,0,0,1,0,0,0,3,3.6,2.4,0.0,0.6,1,0.00,0.01,0.01,0.28,488,180,447,164,747,260,492,177,,,,,,,0.0,0.0,0.02,0.02,0.51,0.0,349,50,695,251,760,259,241,90,1.84,0.0
Karl,Hein,Hein,40,,,463748,0,0,0,0,0,1,0.5,0.0,0,0.0,646,False,,,463748.jpg,0.0,0.1,False,,a,1,3,0,4810,110,4143,88,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,598,76,583,59,540,48,603,76,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,716,56,463,68,606,75,512,69,0.0,0.0
Charles,Sagoe,Sagoe,45,0.0,,516874,0,0,0,0,0,3,0.0,0.0,0,0.0,735,False,Season-long loan to Swansea City,2024-02-04T18:57:41.109017Z,516874.jpg,0.0,0.0,False,,u,1,3,0,641,4,496,38,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,736,303,733,304,720,298,741,306,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,465,278,668,261,739,306,738,302,0.0,0.0
Reuell,Walters,Walters,40,,,535262,0,0,0,0,0,2,0.5,0.0,0,0.0,736,False,,,535262.jpg,0.0,0.0,False,,a,1,3,0,2958,234,1874,127,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,623,240,608,239,569,229,628,240,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,747,228,489,191,631,236,583,212,0.0,0.0
Bradley,Ibrahim,Ibrahim,45,0.0,0.0,535264,0,0,0,0,0,3,0.0,0.0,0,0.0,737,False,Permanent transfer to Hertha Berlin,2024-02-02T15:30:45.761395Z,535264.jpg,0.0,0.0,False,,u,1,3,0,549,0,461,43,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,745,309,742,310,731,305,750,312,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,478,286,678,267,747,311,739,303,0.0,0.0
Myles,Lewis-Skelly,Lewis-Skelly,45,,,499169,0,0,0,0,0,3,0.5,0.0,0,0.0,764,False,,,499169.jpg,0.0,0.0,False,,a,1,3,0,94,43,36,10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,727,295,722,295,708,288,732,298,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,451,266,655,250,730,298,784,332,0.0,0.0
Ethan,Nwaneri,Nwaneri,45,,,499175,0,0,0,0,0,3,0.5,0.0,0,0.0,772,False,,,499175.jpg,0.0,0.0,False,,a,1,3,0,65,19,33,10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,728,296,723,296,709,289,733,299,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,452,267,656,251,731,299,797,344,0.0,0.0
Emile,Smith Rowe,Smith Rowe,53,100.0,100.0,209289,0,0,-2,2,0,3,1.8,1.3,0,1.3,22,False,,2023-11-02T11:00:07.493976Z,209289.jpg,1.9,0.1,False,,a,1,3,15,5738,138,16772,159,0.2,2.8,207,0,1,2,0,0,0,0,0,0,0,0,43,48.2,39.3,70.0,15.6,2,1.05,0.28,1.33,1.11,400,177,345,179,240,129,371,167,,,,,,,0.46,0.0,0.12,0.58,0.48,0.0,144,90,227,110,321,140,415,135,0.87,0.87
William,Saliba,Saliba,56,100.0,100.0,462424,0,0,6,-6,0,2,3.5,3.0,1,3.0,20,False,,2023-10-09T08:30:07.861646Z,462424.jpg,3.7,35.9,False,,a,1,3,84,3645316,32765,2103029,96680,0.5,15.0,2070,1,1,8,22,0,0,0,3,0,0,6,426,414.4,95.3,65.0,57.6,23,1.17,0.63,1.80,17.98,62,18,231,61,254,71,164,39,,,,,,,0.05,0.0,0.03,0.08,0.78,0.96,96,8,108,28,75,11,7,2,1.0,0.35
Declan,Rice,Rice,54,100.0,100.0,204480,0,0,-1,1,1,3,3.5,3.0,1,3.0,540,False,,2024-01-20T15:30:10.454900Z,204480.jpg,3.4,4.6,False,,a,1,3,78,502201,7049,713067,15540,0.6,14.4,1995,3,2,8,21,0,0,0,3,0,0,7,413,510.2,336.6,181.0,102.9,23,1.63,1.65,3.28,17.22,36,12,61,49,126,80,56,42,2.0,,2.0,,,,0.07,0.0,0.07,0.14,0.78,0.95,119,72,104,46,113,58,75,26,1.04,0.36
Rúnar Alex,Rúnarsson,Rúnarsson,40,0.0,0.0,115918,0,0,0,0,0,1,0.0,0.0,0,0.0,18,False,Contract terminated,2023-08-20T06:33:02.960208Z,115918.jpg,0.0,0.1,False,,u,1,3,0,990,0,11193,37,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,559,63,544,46,501,35,564,63,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,670,43,419,55,566,62,447,64,0.0,0.0
Bukayo,Saka,Saka,90,100.0,100.0,223340,0,0,5,-5,2,3,7.8,7.3,9,7.3,19,True,,2023-11-09T08:30:08.290130Z,223340.jpg,5.9,59.5,False,,a,1,3,129,4749111,79889,4576561,138757,0.8,14.3,1921,8,8,7,22,0,0,0,2,0,0,16,464,654.6,858.6,785.0,230.0,22,8.45,7.04,15.49,17.01,5,2,4,3,7,3,2,2,1.0,,,,1.0,,0.4,0.0,0.33,0.73,0.8,1.03,6,4,12,6,10,5,2,1,1.03,0.33
Cédric,Alves Soares,Cédric,39,,,58822,0,0,-1,1,0,2,0.5,0.0,0,0.0,2,False,,,58822.jpg,0.0,0.4,False,,a,1,3,0,35780,247,44340,616,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,524,185,504,184,457,166,528,184,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,759,237,373,123,531,180,258,100,0.0,0.0
Mohamed,Elneny,M.Elneny,44,100.0,75.0,153256,0,0,-1,1,0,3,0.5,0.0,0,0.0,3,False,,2023-12-30T22:30:09.113694Z,153256.jpg,4.0,0.1,False,,a,1,3,4,12907,66,19391,122,0.0,0.9,1,0,1,0,0,0,0,0,0,0,0,0,12,1.8,0.5,2.0,0.4,0,0.00,0.00,0.00,0.00,503,228,473,229,439,217,498,225,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,511,301,549,194,52,32,468,157,0.0,0.0
Fábio,Ferreira Vieira,Fábio Vieira,54,50.0,50.0,438098,0,0,-1,1,0,3,0.2,0.0,0,0.0,4,False,Lack of match fitness - 50% chance of playing,2023-12-07T12:00:08.489004Z,438098.jpg,2.6,0.1,False,,d,1,3,21,11494,10,18737,58,0.0,3.9,236,1,3,1,2,0,0,0,0,1,0,0,62,79.4,63.6,77.0,21.9,2,1.20,0.35,1.55,1.48,355,153,291,159,234,126,341,153,,,,,4.0,,0.46,0.0,0.13,0.59,0.56,0.76,124,77,775,334,214,94,443,144,0.76,0.38
Gabriel,dos Santos Magalhães,Gabriel,50,100.0,100.0,226597,0,0,0,0,2,2,6.5,6.0,-1,6.0,5,False,,2024-01-20T15:30:09.437664Z,226597.jpg,3.6,19.0,False,,a,1,3,76,1757871,90386,2740137,33358,1.2,15.2,1724,2,1,6,19,1,0,0,2,0,0,6,352,397.8,88.7,169.0,65.7,19,2.25,0.40,2.65,15.88,75,27,245,70,136,15,135,27,,,,,,,0.12,0.0,0.02,0.14,0.83,0.99,199,23,24,4,86,13,17,6,0.99,0.31
Gabriel,Fernando de Jesus,G.Jesus,79,75.0,100.0,205651,-1,1,-1,1,1,4,4.1,5.0,0,5.0,8,False,Knee injury - 75% chance of playing,2024-02-05T08:30:09.036230Z,205651.jpg,3.7,3.4,False,,d,1,3,63,1038409,4207,1030829,90538,0.6,8.0,1091,4,4,7,11,0,0,0,5,0,0,10,210,295.4,314.6,603.0,121.3,13,5.30,2.01,7.31,9.47,142,15,66,5,16,9,36,9,,,,,,,0.44,0.0,0.17,0.61,0.78,0.91,17,5,45,11,78,16,95,18,1.07,0.58
Jorge Luiz,Frello Filho,Jorginho,53,100.0,100.0,85955,0,0,-2,2,0,3,2.8,2.3,2,2.3,9,False,,2023-12-18T00:00:09.353001Z,85955.jpg,1.6,0.2,False,,a,1,3,22,9774,387,19331,188,0.4,4.2,491,0,1,1,7,0,0,0,1,0,0,0,96,87.6,98.1,10.0,19.6,5,0.10,0.59,0.69,5.29,342,147,227,136,416,207,352,159,,,,,,,0.02,0.0,0.11,0.13,0.97,1.28,130,80,147,66,368,161,336,101,0.92,0.18
Jakub,Kiwior,Kiwior,43,,,440854,0,0,-2,2,0,2,2.2,1.7,3,1.7,10,False,,,440854.jpg,1.6,0.1,False,,a,1,3,18,6253,726,10211,185,0.4,4.2,347,0,1,1,6,0,0,0,1,0,0,0,78,85.0,24.2,35.0,14.5,4,0.63,0.08,0.71,2.43,345,133,378,132,322,103,378,134,,,,,,,0.16,0.0,0.02,0.18,0.63,1.56,625,150,182,51,361,127,422,164,1.04,0.26
Kai,Havertz,Havertz,71,100.0,100.0,219847,0,0,-4,4,0,3,3.2,2.7,4,2.7,6,False,,2023-12-23T20:00:08.458889Z,219847.jpg,2.7,1.6,False,,a,1,3,60,97117,1323,408685,3264,0.4,8.5,1345,4,2,5,16,0,0,0,6,0,0,0,165,242.4,260.7,333.0,83.6,15,5.23,1.26,6.49,11.16,196,80,85,64,58,35,95,63,,,,,3.0,,0.35,0.0,0.08,0.43,0.75,1.07,29,17,125,55,200,90,154,45,1.0,0.33
Marcus,Oliveira Alencar,Marquinhos,45,0.0,0.0,479683,0,0,0,0,0,3,0.0,0.0,0,0.0,11,False,Season long loan to FC Nantes,2023-08-14T03:57:12.475590Z,479683.jpg,0.0,0.0,False,,u,1,3,0,819,0,11809,18,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,713,284,708,284,694,277,718,287,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,434,252,640,238,716,287,545,194,0.0,0.0
Gabriel,Martinelli Silva,Martinelli,77,100.0,100.0,444145,0,0,-3,3,1,3,9.5,9.0,10,9.0,12,False,,2023-12-12T17:30:08.345180Z,444145.jpg,4.0,6.1,False,,a,1,3,84,1106938,44619,1914470,21167,1.2,10.9,1456,5,3,6,18,0,0,0,1,0,0,6,295,360.8,485.8,546.0,138.7,19,4.11,3.12,7.23,11.17,97,37,23,18,20,11,21,12,,,,,,,0.25,0.0,0.19,0.44,0.69,1.11,19,12,6,4,59,36,62,23,1.17,0.37
Eddie,Nketiah,Nketiah,52,100.0,100.0,205533,0,0,-3,3,1,4,2.2,1.7,0,1.7,13,False,,2023-11-09T08:30:08.250179Z,205533.jpg,3.1,3.7,False,,a,1,3,65,1557498,2484,1617006,21232,0.3,12.5,979,5,4,6,9,0,0,0,3,0,0,5,198,226.8,122.5,357.0,69.6,10,4.19,0.47,4.66,9.54,202,26,190,28,51,23,122,24,,,,,,,0.39,0.0,0.04,0.43,0.88,0.83,156,39,198,31,151,26,88,16,0.92,0.55
Martin,Ødegaard,Ødegaard,84,100.0,100.0,184029,-1,1,-1,1,1,3,2.8,2.3,2,2.3,14,False,,2023-11-04T21:00:08.152623Z,184029.jpg,4.5,14.8,False,,a,1,3,90,1896106,11818,2842482,104749,0.3,10.7,1779,4,4,7,19,0,0,0,1,0,0,12,356,443.0,804.5,439.0,168.6,20,4.55,5.47,10.02,15.89,51,17,5,4,37,21,10,7,3.0,,1.0,,2.0,,0.23,0.0,0.28,0.51,0.8,0.96,10,6,154,69,36,23,29,11,1.01,0.35
Thomas,Partey,Thomas,48,0.0,0.0,167199,0,0,-2,2,0,3,0.0,0.0,0,0.0,15,False,Muscle injury - Unknown return date,2023-10-25T12:00:07.465521Z,167199.jpg,1.8,0.1,False,,i,1,3,7,8640,6,37479,87,0.0,1.5,250,0,0,1,2,0,0,0,0,0,0,0,58,55.8,60.0,15.0,13.1,3,0.07,0.21,0.28,2.53,389,169,297,162,397,196,390,176,,,,,,,0.03,0.0,0.08,0.11,0.91,0.72,286,186,707,284,339,146,368,118,1.08,0.36
Nicolas,Pépé,Pepe,49,0.0,0.0,195735,0,0,-1,1,0,3,0.0,0.0,0,0.0,16,False,Permanent move to Trabzonspor,2023-09-11T14:13:51.462896Z,195735.jpg,0.0,0.0,False,,u,1,3,0,667,0,6421,16,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,772,328,770,328,764,324,775,330,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,240,155,724,297,773,329,542,191,0.0,0.0
Aaron,Ramsdale,Ramsdale,45,,,225321,0,0,-5,5,0,1,0.5,0.0,0,0.0,17,False,,,225321.jpg,3.4,5.9,False,,a,1,3,17,265790,599,1462909,6807,0.0,3.8,450,0,0,2,4,0,0,0,0,0,6,0,77,55.8,0.0,0.0,5.6,5,0.00,0.01,0.01,4.84,388,28,684,84,664,79,436,28,,,,,,,0.0,1.2,0.0,0.0,0.97,0.8,392,22,612,89,105,15,65,12,1.0,0.4
Moussa,Diaby,Diaby,65,100.0,100.0,243557,0,0,0,0,2,3,2.0,2.5,1,2.0,599,False,,2023-09-30T23:00:09.545623Z,243557.jpg,4.0,7.7,False,,a,2,7,91,2361819,7222,2304432,89554,0.3,14.0,1441,4,7,5,23,0,0,0,0,0,0,5,267,321.6,421.5,488.0,123.0,18,4.90,2.80,7.70,20.10,124,53,36,29,26,15,33,22,,,,,,,0.31,0.0,0.17,0.48,1.26,1.44,47,27,177,87,58,35,50,19,1.12,0.31
Viljami,Sinisalo,Sinisalo,40,0.0,0.0,248164,0,0,0,0,0,1,0.0,0.0,0,0.0,57,False,Joined Exeter City on a season-long loan,2023-07-20T08:38:58.947431Z,248164.jpg,0.0,0.0,False,,u,2,7,0,0,0,379,6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,582,70,567,53,524,42,587,70,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,698,50,446,62,590,69,750,87,0.0,0.0
Youri,Tielemans,Tielemans,56,100.0,100.0,166989,0,0,-4,4,0,3,3.3,3.8,8,3.3,58,False,,2023-12-15T09:30:09.215067Z,166989.jpg,2.1,0.4,False,,a,2,7,39,24174,997,98661,321,0.6,7.0,723,1,3,2,10,0,0,0,1,0,0,0,152,162.0,153.1,68.0,38.4,6,0.44,1.25,1.69,12.81,269,110,161,106,246,131,241,120,,,,,,,0.05,0.0,0.16,0.21,1.59,1.24,90,55,89,39,286,124,244,78,0.75,0.25
Bertrand,Traoré,Bertrand Traoré,50,0.0,100.0,110504,0,0,0,0,0,3,0.0,0.5,0,0.0,59,False,Contract terminated,2024-02-04T18:42:06.380445Z,110504.jpg,1.0,0.0,False,,u,2,7,2,1492,11,3448,41,0.0,0.4,10,0,0,0,0,0,0,0,0,0,0,0,6,3.0,0.0,0.0,0.3,0,0.00,0.00,0.00,0.77,497,223,779,335,774,332,509,231,,,,,,,0.0,0.0,0.0,0.0,6.93,0.0,177,108,740,308,483,228,650,251,0.0,0.0
Ollie,Watkins,Watkins,88,100.0,100.0,178301,0,0,8,-8,4,4,8.7,9.2,18,8.7,60,True,,2023-11-30T23:30:07.866054Z,178301.jpg,6.3,53.1,False,,a,2,7,146,6535371,129623,3588230,163521,1.0,16.6,2029,11,14,6,30,0,0,0,4,0,0,18,486,650.0,431.4,890.0,197.1,23,10.48,3.13,13.61,29.54,6,1,35,2,2,1,3,1,,,,,2.0,,0.46,0.0,0.14,0.6,1.31,1.33,7,3,7,2,8,4,3,2,1.02,0.27
Wesley,Moraes Ferreira da Silva,Wesley,50,0.0,0.0,213345,0,0,0,0,0,4,0.0,0.0,0,0.0,61,False,Permanent transfer to Stoke,2023-07-31T07:08:09.572672Z,213345.jpg,0.0,0.0,False,,u,2,7,0,0,0,785,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,786,97,786,97,781,97,788,97,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,196,46,748,88,786,97,732,100,0.0,0.0
Pau,Torres,Pau,46,100.0,0.0,244954,0,0,1,-1,1,2,0.0,0.0,0,0.0,584,False,,2024-01-06T01:00:10.913044Z,244954.jpg,3.4,3.2,False,,a,2,7,61,859142,10224,802749,31281,0.0,13.3,1517,2,0,4,20,0,0,0,1,0,0,4,308,313.2,122.2,103.0,53.9,16,0.88,0.54,1.42,21.75,129,46,191,42,193,44,181,48,,,,,,,0.05,0.0,0.03,0.08,1.29,1.19,348,49,694,250,109,21,102,38,0.95,0.24
Morgan,Sanson,Sanson,45,0.0,0.0,122775,0,0,0,0,0,3,0.0,0.0,0,0.0,56,False,Joined OGC Nice on a season-long loan,2023-07-26T11:26:30.137805Z,122775.jpg,0.0,0.0,False,,u,2,7,0,0,0,619,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,681,264,674,265,653,256,686,267,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,367,225,596,216,686,269,743,306,0.0,0.0
Omari,Kellyman,Kellyman,45,,,549068,0,0,0,0,0,3,0.0,0.5,0,0.0,618,False,,,549068.jpg,0.0,0.0,False,,a,2,7,0,7094,75,7845,86,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,748,310,746,311,735,306,753,313,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,484,289,682,268,750,312,516,179,0.0,0.0
Kaine,Kesler-Hayden,Kesler-Hayden,40,,,465390,0,0,0,0,0,2,0.0,0.5,0,0.0,793,False,,,465390.jpg,0.0,0.0,False,,a,2,7,0,225,139,41,33,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,599,223,584,222,542,209,604,223,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,718,206,464,173,607,219,754,253,0.0,0.0
Nicolò,Zaniolo,Zaniolo,54,100.0,100.0,245414,0,0,-1,1,0,3,0.3,0.8,0,0.3,672,False,,2024-02-05T14:00:09.603663Z,245414.jpg,1.2,0.1,False,,a,2,7,18,13211,59,12342,331,0.1,3.3,525,1,0,1,7,0,0,0,5,0,0,0,0,73.2,83.3,226.0,37.8,7,1.68,0.54,2.22,7.91,363,159,256,146,100,63,246,122,,,,,,,0.29,0.0,0.09,0.38,1.36,1.2,122,75,359,172,413,189,514,178,1.2,0.17
Oliwier,Zych,Zych,40,0.0,0.0,516159,0,0,0,0,0,1,0.0,0.0,0,0.0,686,False,On loan to Puszcza Niepolomice,2023-09-11T14:12:20.141802Z,516159.jpg,0.0,0.0,False,,u,2,7,0,6697,0,5865,59,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,619,83,604,66,565,55,624,83,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,743,63,485,75,627,82,517,70,0.0,0.0
Clément,Lenglet,Lenglet,45,,,171101,0,0,0,0,0,2,4.0,4.5,6,4.0,699,False,,,171101.jpg,3.3,0.2,False,,a,2,7,20,24286,4874,10385,1217,0.9,4.4,511,0,1,2,8,0,0,0,1,0,0,0,121,119.6,34.1,20.0,17.3,6,0.18,0.47,0.65,7.43,311,123,351,121,377,131,364,130,,,,,,,0.03,0.0,0.08,0.11,1.31,1.41,373,63,58,17,123,26,324,127,1.06,0.35
Sam,Proctor,Proctor,40,,,564505,0,0,0,0,0,1,0.0,0.5,0,0.0,765,False,,,564505.jpg,0.0,0.0,False,,a,2,7,0,357,77,171,34,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,628,85,613,68,574,57,633,85,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,752,65,494,77,636,84,731,86,0.0,0.0
Tommi,O'Reilly,O'Reilly,45,,,515599,0,0,0,0,0,3,0.0,0.5,0,0.0,767,False,,,515599.jpg,0.0,0.0,False,,a,2,7,0,217,36,101,18,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,735,302,732,303,719,297,740,305,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,464,277,667,260,738,305,770,323,0.0,0.0
James,Wright,Wright,40,,,481283,0,0,0,0,0,1,0.0,0.5,0,0.0,778,False,,,481283.jpg,0.0,0.0,False,,a,2,7,0,142,63,35,20,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,604,80,589,63,548,52,609,80,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,726,60,470,72,612,79,773,88,0.0,0.0
